Node	X	Y	Z
1	0.0000	0.0000	0.0000
2	10.0000	0.0000	0.0000
3	0.0000	10.0000	0.0000
4	10.0000	10.0000	0.0000
5	0.0000	0.0000	10.0000
6	10.0000	0.0000	10.0000
7	0.0000	10.0000	10.0000
8	10.0000	10.0000	10.0000
10002	6.6667	0.0000	10.0000
10003	6.6667	3.3333	10.0000
10004	10.0000	3.3333	10.0000
10005	3.3333	3.3333	10.0000
10006	3.3333	0.0000	10.0000
10008	0.0000	3.3333	10.0000
10009	6.6667	6.6667	10.0000
10010	10.0000	6.6667	10.0000
10011	3.3333	6.6667	10.0000
10012	0.0000	6.6667	10.0000
10013	6.6667	10.0000	10.0000
10015	3.3333	10.0000	10.0000
