Node	Mode	UX	UY	UZ	RX	RY	RZ
1	1	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	2	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	3	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2	1	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2	2	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2	3	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2	4	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2	5	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3	1	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3	2	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3	3	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3	4	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3	5	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4	1	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4	2	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4	3	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4	4	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4	5	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5	1	6.233560e-07	4.721699e-07	-1.620837e-05	-2.618976e-05	3.088015e-05	2.177649e-14
5	2	4.443301e-06	3.665251e-10	-4.072627e-05	-1.411756e-08	8.585901e-07	-1.058584e-13
5	3	8.535993e-11	-6.167052e-06	-4.070491e-05	1.191366e-06	1.411793e-08	-1.181769e-13
5	4	1.821364e-06	-1.379839e-06	2.154485e-10	7.649583e-05	9.019377e-05	4.593069e-13
5	5	1.943553e-06	1.472248e-06	-9.308741e-05	-8.165908e-05	9.627824e-05	6.719760e-14
6	1	-6.233560e-07	4.721699e-07	-1.620837e-05	-2.618976e-05	-3.088015e-05	-2.177649e-14
6	2	4.443301e-06	-3.663935e-10	4.072627e-05	1.411753e-08	8.585901e-07	-1.058584e-13
6	3	-8.526505e-11	-6.167052e-06	-4.070491e-05	1.191366e-06	-1.411791e-08	1.181769e-13
6	4	-1.821364e-06	-1.379839e-06	2.154485e-10	7.649583e-05	-9.019377e-05	-4.593069e-13
6	5	-1.943553e-06	1.472248e-06	-9.308741e-05	-8.165908e-05	-9.627824e-05	-6.719760e-14
7	1	6.233560e-07	-4.721699e-07	-1.620837e-05	2.618976e-05	3.088015e-05	-2.177649e-14
7	2	4.443301e-06	-3.663936e-10	-4.072627e-05	1.411753e-08	8.585901e-07	1.058584e-13
