T (sec)	Sa
0.000	0.060000
0.005	0.060900
0.010	0.061800
0.015	0.062700
0.020	0.063600
0.025	0.064500
0.030	0.065400
0.035	0.066300
0.040	0.067200
0.045	0.068100
0.050	0.069000
0.055	0.069900
0.060	0.070800
0.065	0.071700
0.070	0.072600
0.075	0.073500
0.080	0.074400
0.085	0.075300
0.090	0.076200
0.095	0.077100
0.100	0.078000
0.105	0.078900
0.110	0.079800
0.115	0.080700
0.120	0.081600
0.125	0.082500
0.130	0.083400
0.135	0.084300
0.140	0.085200
0.145	0.086100
0.150	0.087000
0.155	0.087900
0.160	0.088800
0.165	0.089700
0.170	0.090600
0.175	0.091500
0.180	0.092400
0.185	0.093300
0.190	0.094200
0.195	0.095100
0.200	0.096000
0.205	0.096900
0.210	0.097800
0.215	0.098700
0.220	0.099600
0.225	0.100500
0.230	0.101400
0.235	0.102300
0.240	0.103200
0.245	0.104100
0.250	0.105000
0.255	0.105900
0.260	0.106800
0.265	0.107700
0.270	0.108600
0.275	0.109500
0.280	0.110400
0.285	0.111300
0.290	0.112200
0.295	0.113100
0.300	0.114000
0.305	0.114900
0.310	0.115800
0.315	0.116700
0.320	0.117600
0.325	0.118500
0.330	0.119400
0.335	0.120300
0.340	0.121200
0.345	0.122100
0.350	0.123000
0.355	0.123900
0.360	0.124800
0.365	0.125700
0.370	0.126600
0.375	0.127500
0.380	0.128400
0.385	0.129300
0.390	0.130200
0.395	0.131100
0.400	0.132000
0.405	0.132900
0.410	0.133800
0.415	0.134700
0.420	0.135600
0.425	0.136500
0.430	0.137400
0.435	0.138300
0.440	0.139200
0.445	0.140100
0.450	0.141000
0.455	0.141900
0.460	0.142800
0.465	0.143700
0.470	0.144600
0.475	0.145500
0.480	0.146400
0.485	0.147300
0.490	0.148200
0.495	0.149100
0.500	0.150000
0.505	0.150000
0.510	0.150000
0.515	0.150000
0.520	0.150000
0.525	0.150000
0.530	0.150000
0.535	0.150000
0.540	0.150000
0.545	0.150000
0.550	0.150000
0.555	0.150000
0.560	0.150000
0.565	0.150000
0.570	0.150000
0.575	0.150000
0.580	0.150000
0.585	0.150000
0.590	0.150000
0.595	0.150000
0.600	0.150000
0.605	0.150000
0.610	0.150000
0.615	0.150000
0.620	0.150000
0.625	0.150000
0.630	0.150000
0.635	0.150000
0.640	0.150000
0.645	0.150000
0.650	0.150000
0.655	0.150000
0.660	0.150000
0.665	0.150000
0.670	0.150000
0.675	0.150000
0.680	0.150000
0.685	0.150000
0.690	0.150000
0.695	0.150000
0.700	0.150000
0.705	0.150000
0.710	0.150000
0.715	0.150000
0.720	0.150000
0.725	0.150000
0.730	0.150000
0.735	0.150000
0.740	0.150000
0.745	0.150000
0.750	0.150000
0.755	0.150000
0.760	0.150000
0.765	0.150000
0.770	0.150000
0.775	0.150000
0.780	0.150000
0.785	0.150000
0.790	0.150000
0.795	0.150000
0.800	0.150000
0.805	0.150000
0.810	0.150000
0.815	0.150000
0.820	0.150000
0.825	0.150000
0.830	0.150000
0.835	0.150000
0.840	0.150000
0.845	0.150000
0.850	0.150000
0.855	0.150000
0.860	0.150000
0.865	0.150000
0.870	0.150000
0.875	0.150000
0.880	0.150000
0.885	0.150000
0.890	0.150000
0.895	0.150000
0.900	0.150000
0.905	0.150000
0.910	0.150000
0.915	0.150000
0.920	0.150000
0.925	0.150000
0.930	0.150000
0.935	0.150000
0.940	0.150000
0.945	0.150000
0.950	0.150000
0.955	0.150000
0.960	0.150000
0.965	0.150000
0.970	0.150000
0.975	0.150000
0.980	0.150000
0.985	0.150000
0.990	0.150000
0.995	0.150000
1.000	0.150000
1.005	0.150000
1.010	0.150000
1.015	0.150000
1.020	0.150000
1.025	0.150000
1.030	0.150000
1.035	0.150000
1.040	0.150000
1.045	0.150000
1.050	0.150000
1.055	0.150000
1.060	0.150000
1.065	0.150000
1.070	0.150000
1.075	0.150000
1.080	0.150000
1.085	0.150000
1.090	0.150000
1.095	0.150000
1.100	0.150000
1.105	0.150000
1.110	0.150000
1.115	0.150000
1.120	0.150000
1.125	0.150000
1.130	0.150000
1.135	0.150000
1.140	0.150000
1.145	0.150000
1.150	0.150000
1.155	0.150000
1.160	0.150000
1.165	0.150000
1.170	0.150000
1.175	0.150000
1.180	0.150000
1.185	0.150000
1.190	0.150000
1.195	0.150000
1.200	0.150000
1.205	0.150000
1.210	0.150000
1.215	0.150000
1.220	0.150000
1.225	0.150000
1.230	0.150000
1.235	0.150000
1.240	0.150000
1.245	0.150000
1.250	0.150000
1.255	0.150000
1.260	0.150000
1.265	0.150000
1.270	0.150000
1.275	0.150000
1.280	0.150000
1.285	0.150000
1.290	0.150000
1.295	0.150000
1.300	0.150000
1.305	0.150000
1.310	0.150000
1.315	0.150000
1.320	0.150000
1.325	0.150000
1.330	0.150000
1.335	0.150000
1.340	0.150000
1.345	0.150000
1.350	0.150000
1.355	0.150000
1.360	0.150000
1.365	0.150000
1.370	0.150000
1.375	0.150000
1.380	0.150000
1.385	0.150000
1.390	0.150000
1.395	0.150000
1.400	0.150000
1.405	0.150000
1.410	0.150000
1.415	0.150000
1.420	0.150000
1.425	0.150000
1.430	0.150000
1.435	0.150000
1.440	0.150000
1.445	0.150000
1.450	0.150000
1.455	0.150000
1.460	0.150000
1.465	0.150000
1.470	0.150000
1.475	0.150000
1.480	0.150000
1.485	0.150000
1.490	0.150000
1.495	0.150000
1.500	0.150000
1.505	0.149502
1.510	0.149007
1.515	0.148515
1.520	0.148026
1.525	0.147541
1.530	0.147059
1.535	0.146580
1.540	0.146104
1.545	0.145631
1.550	0.145161
1.555	0.144695
1.560	0.144231
1.565	0.143770
1.570	0.143312
1.575	0.142857
1.580	0.142405
1.585	0.141956
1.590	0.141509
1.595	0.141066
1.600	0.140625
1.605	0.140187
1.610	0.139752
1.615	0.139319
1.620	0.138889
1.625	0.138462
1.630	0.138037
1.635	0.137615
1.640	0.137195
1.645	0.136778
1.650	0.136364
1.655	0.135952
1.660	0.135542
1.665	0.135135
1.670	0.134731
1.675	0.134328
1.680	0.133929
1.685	0.133531
1.690	0.133136
1.695	0.132743
1.700	0.132353
1.705	0.131965
1.710	0.131579
1.715	0.131195
1.720	0.130814
1.725	0.130435
1.730	0.130058
1.735	0.129683
1.740	0.129310
1.745	0.128940
1.750	0.128571
1.755	0.128205
1.760	0.127841
1.765	0.127479
1.770	0.127119
1.775	0.126761
1.780	0.126404
1.785	0.126050
1.790	0.125698
1.795	0.125348
1.800	0.125000
1.805	0.124654
1.810	0.124309
1.815	0.123967
1.820	0.123626
1.825	0.123288
1.830	0.122951
1.835	0.122616
1.840	0.122283
1.845	0.121951
1.850	0.121622
1.855	0.121294
1.860	0.120968
1.865	0.120643
1.870	0.120321
1.875	0.120000
1.880	0.119681
1.885	0.119363
1.890	0.119048
1.895	0.118734
1.900	0.118421
1.905	0.118110
1.910	0.117801
1.915	0.117493
1.920	0.117188
1.925	0.116883
1.930	0.116580
1.935	0.116279
1.940	0.115979
1.945	0.115681
1.950	0.115385
1.955	0.115090
1.960	0.114796
1.965	0.114504
1.970	0.114213
1.975	0.113924
1.980	0.113636
1.985	0.113350
1.990	0.113065
1.995	0.112782
2.000	0.112500
2.005	0.111940
2.010	0.111383
2.015	0.110831
2.020	0.110283
2.025	0.109739
2.030	0.109199
2.035	0.108663
2.040	0.108131
